Kinase,Score,Rank,Method,Perc,Qrt,hgnc_symbol,group,KinaseFamily,subfamily
AAK1,280,266,KEA3,0.09714285714285714,1,AAK1,OTHER,NAK,BIKE
ABL1,23.666666666666664,15,KEA3,0.96,4,ABL1,TK,ABL,ABL
ABL2,52,44,KEA3,0.8628571428571429,4,ABL2,TK,ABL,ABL
ACVR1,173,172,KEA3,0.3914285714285714,2,ACVR1,TKL,STKR,TYPE1
ACVR1B,201.5,204,KEA3,0.2914285714285714,2,ACVR1B,TKL,STKR,TYPE1
ACVR2B,40,31,KEA3,0.9028571428571428,4,ACVR2B,TKL,STKR,TYPE2
AKT1,59,53,KEA3,0.8342857142857143,4,AKT1,AGC,AKT,AKT
AKT2,92.66666666666667,92,KEA3,0.7028571428571428,3,AKT2,AGC,AKT,AKT
AKT3,192,192,KEA3,0.3314285714285714,2,AKT3,AGC,AKT,AKT
ALK,34.5,27,KEA3,0.9228571428571428,4,ALK,TK,ALK,ALK
ARAF,43.5,36,KEA3,0.8885714285714286,4,ARAF,TKL,RAF,RAF
ATM,125.66666666666667,125,KEA3,0.5714285714285714,3,ATM,ATYPICAL,PIKK,ATM
ATR,118.33333333333333,120,KEA3,0.5914285714285714,3,ATR,ATYPICAL,PIKK,ATR
AURKA,141.33333333333334,138,KEA3,0.5257142857142857,3,AURKA,OTHER,AUR,AUR
AURKB,68.66666666666667,62,KEA3,0.8057142857142857,4,AURKB,OTHER,AUR,AUR
AURKC,188,189,KEA3,0.34,2,AURKC,OTHER,AUR,AUR
AXL,149.5,151,KEA3,0.46,2,AXL,TK,AXL,AXL
BLK,234,231,KEA3,0.21142857142857144,1,BLK,TK,SRC,SRCB
BMP2K,327,290,KEA3,0.02857142857142857,1,BMP2K,OTHER,NAK,BIKE
BMPR1A,68,60,KEA3,0.8142857142857143,4,BMPR1A,TKL,STKR,TYPE1
BMPR1B,142,140,KEA3,0.5142857142857142,3,BMPR1B,TKL,STKR,TYPE1
BMPR2,216.5,216,KEA3,0.2542857142857143,2,BMPR2,TKL,STKR,TYPE2
BMX,57.666666666666664,52,KEA3,0.8371428571428572,4,BMX,TK,TEC,TEC
BRAF,185,185,KEA3,0.3514285714285714,2,BRAF,TKL,RAF,RAF
BRSK1,228.33333333333334,225,KEA3,0.22857142857142856,1,BRSK1,CAMK,CAMKL,BRSK
BRSK2,316,282,KEA3,0.05142857142857143,1,BRSK2,CAMK,CAMKL,BRSK
BTK,85,80,KEA3,0.7457142857142857,3,BTK,TK,TEC,TEC
BUB1,209,209,KEA3,0.2742857142857143,2,BUB1,OTHER,BUB,BUB
CAMK1,194.66666666666666,196,KEA3,0.3171428571428571,2,CAMK1,CAMK,CAMK1,CAMK1
CAMK1D,254,247,KEA3,0.16,1,CAMK1D,CAMK,CAMK1,CAMK1
CAMK2A,106.66666666666667,108,KEA3,0.6314285714285715,3,CAMK2A,CAMK,CAMK2,CAMK2
CAMK2B,125.5,124,KEA3,0.5771428571428572,3,CAMK2B,CAMK,CAMK2,CAMK2
CAMK2D,125.66666666666667,125,KEA3,0.5714285714285714,3,CAMK2D,CAMK,CAMK2,CAMK2
CAMK2G,106,107,KEA3,0.6342857142857142,3,CAMK2G,CAMK,CAMK2,CAMK2
CAMK4,145.33333333333334,143,KEA3,0.48857142857142855,2,CAMK4,CAMK,CAMK1,CAMK1
CAMKK1,168.66666666666666,170,KEA3,0.39714285714285713,2,CAMKK1,OTHER,CAMKK,META
CAMKK2,194.5,195,KEA3,0.32,2,CAMKK2,OTHER,CAMKK,META
CDC42BPA,305,275,KEA3,0.07142857142857142,1,CDC42BPA,AGC,DMPK,GEK
CDC7,215,215,KEA3,0.2571428571428571,2,CDC7,OTHER,CDC7,CDC7
CDK1,87.5,86,KEA3,0.72,3,CDK1,CMGC,CDK,CDC2
CDK11A,333,294,KEA3,0.017142857142857144,1,CDK11A,CMGC,CDK,CDK11
CDK11A,333,294,KEA3,0.017142857142857144,1,CDK11A,NA,NA,NA
CDK12,322,287,KEA3,0.037142857142857144,1,CDK12,CMGC,CDK,CRK7
CDK15,152,154,KEA3,0.44857142857142857,2,CDK15,CMGC,CDK,PFTAIRE
CDK16,29,23,KEA3,0.9342857142857143,4,CDK16,CMGC,CDK,PCTAIRE
CDK18,260,252,KEA3,0.14285714285714285,1,CDK18,CMGC,CDK,PCTAIRE
CDK19,248,241,KEA3,0.18,1,CDK19,CMGC,CDK,CDK8
CDK2,108,110,KEA3,0.62,3,CDK2,CMGC,CDK,CDC2
CDK20,285,268,KEA3,0.09142857142857143,1,CDK20,CMGC,CDK,CCRK
CDK3,95,93,KEA3,0.6971428571428572,3,CDK3,CMGC,CDK,CDC2
CDK4,74,68,KEA3,0.7857142857142857,4,CDK4,CMGC,CDK,CDK4
CDK5,51.33333333333333,42,KEA3,0.8685714285714285,4,CDK5,CMGC,CDK,CDK5
CDK6,117.66666666666667,119,KEA3,0.5942857142857143,3,CDK6,CMGC,CDK,CDK4
CDK7,76.33333333333333,71,KEA3,0.7771428571428571,4,CDK7,CMGC,CDK,CDK7
CDK8,229.5,226,KEA3,0.2257142857142857,1,CDK8,CMGC,CDK,CDK8
CDK9,115.33333333333333,117,KEA3,0.6,3,CDK9,CMGC,CDK,CDK9
CDKL3,315,281,KEA3,0.054285714285714284,1,CDKL3,CMGC,CDKL,CDKL
